0.014,0.410,0.071,0.397,0.509
0.251,0.451,0.215,0.563,0.199
0.425,0.221,0.977,0.922,0.461
0.153,0.033,0.982,0.458,0.826
0.049,0.739,0.439,0.297,0.924
0.022,0.505,0.074,0.583,0.291
0.228,0.598,0.699,0.341,0.183
0.324,0.584,0.366,0.549,0.866
0.438,0.982,0.469,0.546,0.949
0.107,0.427,0.061,0.545,0.511
0.967,0.203,0.228,0.961,0.123
0.706,0.395,0.570,0.074,0.030
0.306,0.065,0.830,0.422,0.260
0.714,0.882,0.394,0.868,0.594
0.124,0.033,0.856,0.824,0.466
0.686,0.409,0.824,0.546,0.404
0.660,0.813,0.106,0.377,0.509
0.745,0.654,0.945,0.831,0.677
0.134,0.211,0.348,0.276,0.299
0.006,0.926,0.145,0.357,0.854
0.495,0.562,0.294,0.535,0.687
0.401,0.310,0.434,0.567,0.766
0.169,0.864,0.731,0.275,0.649
0.994,0.124,0.723,0.322,0.901
0.518,0.567,0.013,0.777,0.094
0.449,0.500,0.430,0.336,0.276
0.190,0.948,0.694,0.758,0.185
0.985,0.666,1.000,0.178,0.585
0.786,0.170,0.705,0.488,0.248
0.077,0.688,0.691,0.280,0.669
0.206,0.696,0.225,0.927,0.716
0.587,0.593,0.804,0.494,0.104
0.230,0.946,0.249,0.766,0.075
0.881,0.901,0.405,0.351,0.904
0.370,0.853,0.175,0.585,0.879
0.180,0.692,0.519,0.103,0.491
0.727,0.304,0.478,0.682,0.547
0.710,0.146,0.503,0.113,0.479
0.207,0.789,0.362,0.021,0.122
0.232,0.528,0.983,0.856,0.275
0.529,0.710,0.013,0.317,0.878
0.130,0.423,0.564,0.953,0.968
0.299,0.370,0.584,0.892,0.961
0.179,0.154,0.418,0.095,0.551
0.655,0.298,0.498,0.100,0.031
0.584,0.030,0.668,0.346,0.972
0.830,0.265,0.948,0.149,0.090
0.258,0.204,0.818,0.459,0.426
0.634,0.401,0.976,0.515,0.454
0.305,0.238,0.558,0.298,0.377
0.151,0.718,0.963,0.291,0.309
0.863,0.533,0.780,0.944,0.372
0.814,0.078,0.315,0.825,0.849
0.625,0.069,0.501,0.760,0.496
0.296,1.000,0.665,0.117,0.380
0.195,0.197,0.231,0.156,0.419
0.220,0.567,0.613,0.434,0.829
0.632,0.804,0.576,0.265,0.752
0.700,0.516,0.137,0.236,0.493
0.240,0.694,0.616,0.842,0.517
0.890,0.128,0.045,0.441,0.846
0.014,0.492,0.748,0.578,0.426
0.886,0.473,0.223,0.296,0.714
0.451,0.669,0.347,0.784,0.373
0.420,0.617,0.036,0.099,0.146
0.974,0.819,0.697,0.398,0.723
0.100,0.519,0.613,0.692,0.701
0.681,0.210,0.685,0.135,0.127
0.745,0.322,0.455,0.563,0.818
0.008,0.415,0.409,0.076,0.695
0.396,0.789,0.707,0.002,0.570
0.546,0.283,0.765,0.148,0.570
0.510,0.162,0.279,0.856,0.520
0.735,0.770,0.703,0.866,0.119
0.079,0.490,0.168,0.709,0.570
0.673,0.152,0.804,0.716,0.195
0.024,0.105,0.144,0.404,0.224
0.212,0.353,0.246,0.502,0.655
0.572,0.342,0.536,0.576,0.782
0.632,0.004,0.800,0.478,0.460
0.420,0.696,0.864,0.508,0.060
0.224,0.882,0.449,0.081,0.551
0.104,0.810,0.366,0.727,0.914
0.988,0.202,0.204,0.191,0.491
0.056,0.587,0.286,0.999,0.106
0.912,0.892,0.912,0.655,0.237
0.760,0.606,0.417,0.411,0.389
0.848,0.025,0.426,0.169,0.469
0.629,0.496,0.766,0.868,0.897
0.554,0.226,0.499,0.965,0.153
0.533,0.848,0.052,0.356,0.972
0.660,0.686,0.477,0.451,0.425
0.207,0.764,0.382,0.792,0.936
0.714,0.070,0.323,0.798,0.513
0.073,0.068,0.144,0.331,0.955
0.914,0.905,0.744,0.268,0.389
0.429,0.968,0.771,0.760,0.202
0.253,0.274,0.382,0.394,0.850
0.557,0.361,0.884,0.145,0.560
0.536,0.447,0.882,0.706,0.170
