0.952,0.452,0.920,0.971,0.526
0.103,0.406,0.397,0.537,0.853
0.783,0.424,0.895,0.024,0.568
0.378,0.686,0.562,0.613,0.089
0.582,0.019,0.317,0.312,0.004
0.665,0.904,0.118,0.647,0.326
0.212,0.374,0.171,0.873,0.689
0.997,0.398,0.279,0.958,0.476
0.727,0.509,0.996,0.812,0.297
0.235,0.835,0.347,0.459,0.884
0.342,0.771,0.126,0.513,0.486
0.977,0.457,0.880,0.765,0.421
0.790,0.848,0.253,0.902,0.373
0.480,0.767,0.517,0.419,0.081
0.688,0.055,0.650,0.357,0.771
0.159,0.568,0.839,0.359,0.299
0.688,0.675,0.564,0.049,0.681
0.193,0.501,0.326,0.212,0.681
0.404,0.049,0.781,0.613,0.056
0.235,0.097,0.285,0.676,0.691
0.643,0.578,0.781,0.607,0.913
0.779,0.172,0.184,0.621,0.963
0.263,0.089,0.568,0.423,0.073
0.460,0.379,0.967,0.072,0.627
0.012,0.375,0.487,0.927,0.947
0.681,0.357,0.346,0.621,0.021
0.032,0.782,0.818,0.293,0.377
0.112,0.543,0.600,0.555,0.732
0.840,0.279,0.775,0.545,0.100
0.028,0.044,0.709,0.252,0.030
0.434,0.582,0.317,0.472,0.099
0.207,0.629,0.057,0.651,0.516
0.572,0.230,0.129,0.672,0.992
0.616,0.683,0.241,0.312,0.432
0.772,0.327,0.665,0.160,0.444
0.096,0.353,0.265,0.424,0.693
0.649,0.906,0.764,0.908,0.213
0.470,0.449,0.769,0.136,0.791
0.737,0.595,0.102,0.884,0.447
0.039,0.891,0.169,0.448,0.446
0.330,0.293,0.687,0.338,0.131
0.699,0.033,0.649,0.186,0.906
0.301,0.355,0.639,0.977,0.413
0.900,0.583,0.344,0.457,0.788
0.077,0.135,0.338,0.800,0.958
0.410,0.301,0.380,0.945,0.764
0.508,0.625,0.502,0.301,0.274
0.719,0.787,0.244,0.567,0.506
0.949,0.819,0.911,0.681,0.332
0.632,0.087,0.008,0.789,0.253
0.812,0.676,0.080,0.396,0.076
0.655,0.794,0.493,0.887,0.529
0.676,0.988,0.805,0.096,0.081
0.283,0.972,0.172,0.801,0.233
0.932,0.686,0.463,0.143,0.408
0.341,0.255,0.870,0.433,0.192
0.099,0.188,0.099,0.692,0.471
0.142,0.240,0.847,0.596,0.996
0.705,0.584,0.587,0.990,0.600
0.020,0.040,0.493,0.107,0.251
0.664,0.485,0.383,0.111,0.446
0.726,1.000,0.882,0.071,0.500
0.163,0.177,0.296,0.185,0.879
0.501,0.468,0.802,0.193,0.859
0.728,0.857,0.826,0.935,0.079
0.157,0.331,0.326,0.226,0.400
