0.836,0.229,0.154,0.244,0.127,0.997,0.405,0.320,0.291,0.929
0.529,0.613,0.661,0.784,0.893,0.012,0.323,0.421,0.857,0.023
0.066,0.707,0.290,0.446,0.793,0.769,0.531,0.061,0.346,0.321
0.840,0.544,0.659,0.377,0.836,0.933,0.917,0.896,0.970,0.227
0.604,0.392,0.500,0.914,0.632,0.288,0.878,0.276,0.614,0.928
0.234,0.269,0.113,0.882,0.437,0.315,0.368,0.626,0.762,0.880
0.765,0.591,0.764,0.952,0.031,0.851,0.960,0.996,0.930,0.228
0.753,0.471,0.373,0.058,0.961,0.428,0.576,0.351,0.142,0.595
0.778,0.802,0.168,0.709,0.109,0.413,0.518,0.530,0.299,0.185
0.147,0.574,0.180,0.698,0.475,0.866,0.884,0.472,0.991,0.816
0.847,0.062,0.284,0.530,0.316,0.126,0.080,0.911,0.500,0.461
0.985,0.520,0.087,0.097,0.608,0.791,0.399,0.507,0.479,0.082
0.421,0.865,0.450,0.169,0.795,0.839,0.575,0.079,0.920,0.268
0.522,0.617,0.309,0.104,0.349,0.725,0.642,0.621,0.866,0.054
0.959,0.218,0.099,0.500,0.782,0.643,0.467,0.767,0.024,0.250
0.934,0.664,0.720,0.458,0.922,0.864,0.622,0.127,0.757,0.193
0.350,0.203,0.359,0.286,0.043,0.360,0.453,0.166,0.733,0.509
0.080,0.889,0.844,0.507,0.840,0.754,0.647,0.031,0.683,0.193
0.635,0.541,0.548,0.078,0.670,0.660,0.453,0.845,0.409,0.750
0.164,0.233,0.628,0.010,0.651,0.346,0.007,0.834,0.693,0.772
0.029,0.931,0.617,0.597,0.083,0.261,0.709,0.238,0.083,0.101
0.243,0.234,0.731,0.559,0.425,0.091,0.558,0.319,0.578,0.994
0.995,0.013,0.653,0.085,0.121,0.378,0.585,0.945,0.293,0.745
0.868,0.072,0.270,0.453,0.673,0.042,0.783,0.892,0.496,0.050
0.046,0.063,0.953,0.522,0.113,0.972,0.091,0.329,0.988,0.394
0.624,0.204,0.424,0.224,0.909,0.969,0.229,0.023,0.689,0.389
0.907,0.722,0.048,0.667,0.033,0.420,0.031,0.703,0.266,0.901
0.989,0.633,0.699,0.653,0.657,0.385,0.423,0.378,0.528,0.698
0.962,0.798,0.977,0.280,0.075,0.375,0.082,0.700,0.457,0.332
0.286,0.795,0.657,0.633,0.888,0.375,0.725,0.868,0.020,0.801
0.717,0.851,0.142,0.674,0.434,0.258,0.604,0.151,0.844,0.116
0.538,0.555,0.738,0.184,0.492,0.389,0.376,0.820,0.908,0.893
0.419,0.951,0.902,0.982,0.293,0.574,0.473,0.559,0.097,0.290
0.206,0.399,0.111,0.789,0.248,0.740,0.592,0.298,0.158,0.540
0.463,0.552,0.958,0.627,0.034,0.027,0.384,0.670,0.058,0.149
0.835,0.268,0.672,0.428,0.221,0.941,0.118,0.542,0.092,0.298
0.722,0.719,0.287,0.651,0.124,0.441,0.305,0.281,0.169,0.942
0.907,0.508,0.684,0.296,0.551,0.520,0.771,0.273,0.341,0.452
0.825,0.218,0.895,0.322,0.372,0.414,0.285,0.671,0.273,0.003
0.398,0.625,0.539,0.741,0.731,0.914,0.937,0.493,0.534,0.763
0.552,0.323,0.769,0.028,0.339,0.504,0.283,0.751,0.614,0.300
0.627,0.908,0.763,0.492,0.652,0.191,0.394,0.230,0.985,0.955
0.963,0.351,0.005,0.076,0.494,0.405,0.022,0.265,0.029,0.522
0.282,0.360,0.500,0.563,0.011,0.341,0.282,0.502,0.525,0.437
0.948,0.847,0.331,0.589,0.513,0.171,0.276,0.557,0.092,0.419
0.160,0.222,0.766,0.794,0.762,0.526,0.078,0.686,0.176,0.774
0.721,0.002,0.190,0.100,0.266,0.859,0.165,0.807,0.257,0.194
0.851,0.224,0.562,0.299,0.310,0.631,0.651,0.177,0.562,0.465
0.223,0.422,0.572,0.397,0.445,0.987,0.471,0.819,0.665,0.917
0.957,0.348,0.987,0.252,0.986,0.160,0.293,0.550,0.157,0.776
0.447,0.778,0.949,0.690,0.433,0.638,0.762,0.315,0.652,0.630
0.534,0.694,0.420,0.057,0.404,0.949,0.513,0.340,0.746,0.026
0.981,0.585,0.510,0.968,0.602,0.471,0.061,0.351,0.792,0.548
0.908,0.883,0.042,0.164,0.599,0.186,0.780,0.267,0.260,0.755
0.561,0.320,0.632,0.918,0.422,0.814,0.154,0.785,0.320,0.893
0.771,0.833,0.186,0.389,0.217,0.393,0.764,0.403,0.129,0.672
0.845,0.028,0.737,0.899,0.111,0.248,0.389,0.334,0.806,0.209
0.850,0.863,0.419,0.906,0.691,0.122,0.832,0.327,0.948,0.247
0.750,0.776,0.808,0.859,0.108,0.425,0.202,0.570,0.855,0.925
0.288,0.175,0.807,0.764,0.338,0.784,0.318,0.067,0.086,0.765
0.976,0.608,0.775,0.220,0.692,0.628,0.043,0.594,0.697,0.667
0.710,0.199,0.764,0.787,0.736,0.548,0.752,0.735,0.835,0.349
0.630,0.225,0.681,0.418,0.846,0.674,0.544,0.003,0.151,0.006
0.215,0.549,0.600,0.940,0.839,0.377,0.138,0.132,0.371,0.402
0.068,0.382,0.482,0.819,0.712,0.907,0.402,0.229,0.902,0.584
0.877,0.131,0.327,0.811,0.299,0.177,0.759,0.730,0.639,0.182
0.125,0.086,0.568,0.894,0.350,0.428,0.977,0.246,0.563,0.275
0.981,0.907,0.774,0.758,0.081,0.390,0.261,0.529,0.339,0.626
0.712,0.933,0.735,0.098,0.983,0.074,0.539,0.108,0.864,0.045
0.910,0.343,0.340,0.911,0.913,0.826,0.572,0.138,0.782,0.232
0.036,0.080,0.089,0.540,0.925,0.151,0.996,0.905,0.393,0.718
0.957,0.819,0.526,0.470,0.547,0.962,0.797,0.098,0.784,0.778
